,原保险保费收入,原保险保费收入_财产险,原保险保费收入_人身险,原保险保费收入_人身险_寿险,原保险保费收入_人身险_健康险,原保险保费收入_人身险_人身意外伤害险,原保险赔付支出,原保险赔付支出_财产险,原保险赔付支出_人身险,原保险赔付支出_人身险_寿险,原保险赔付支出_人身险_健康险,原保险赔付支出_人身险_人身意外伤害险,业务及管理费,银行存款,投资,资产总额,date
30,9985763.100000009,3669471.0999999978,6316292.0,5617554.8000000045,457857.3000000003,240879.80000000005,2960079.5,1707286.3000000007,1252793.2000000011,846203.5,337940.1999999997,68649.60000000003,1462700.2000000002,-16757584.0,13345544.199999988,-13962393.200000048,2011-07-01
31,10152993.299999997,3555016.5,6597976.900000006,5869013.099999994,473784.7999999998,255178.8999999999,3125792.6999999993,1896942.4000000004,1228850.2999999989,915231.0999999996,240392.90000000037,73226.39999999997,1465839.0,1928110.599999994,1191400.699999988,3647076.3000000715,2011-08-01
32,11835256.099999994,3930141.8000000007,7905114.199999988,6799550.600000009,722764.7999999998,382798.8999999999,3057679.5,1920200.7999999989,1137478.7000000011,861397.7000000011,202906.09999999963,73174.89999999997,1734389.5,10085999.599999994,-4186423.300000012,8186586.299999952,2011-09-01
33,9697102.700000003,3206822.299999997,6490280.400000006,5729252.0,510729.2000000002,250299.30000000028,2698844.9000000022,1677477.5,1021367.3999999985,791409.1999999993,172252.0,57706.10000000009,1494760.0,-3550997.899999976,14205040.800000012,9531388.300000072,2011-10-01
34,10338883.100000009,3736251.5,6602631.5,5854019.199999988,510093.0,238519.19999999972,3707313.4999999963,2428197.700000001,1279115.8000000007,967438.9000000004,233530.80000000028,78146.09999999998,1698244.2999999989,-1576736.300000012,3876948.699999988,2520367.5999999046,2011-11-01
35,10816461.299999982,4484941.8000000045,6331519.599999994,5556105.100000009,563118.2999999998,212296.30000000028,4154407.1000000015,2871070.8000000007,1283336.3000000007,932838.9000000004,250846.6000000001,99650.90000000002,2746642.8000000007,10666437.800000012,5008156.900000036,16759389.100000024,2011-12-01
36,18917623.7,4946729.2,13970894.5,12864408.3,809343.2,297143.0,3453928.9,1714885.6,1739043.3,1454020.1,217777.9,67245.3,1542547.1,171392236.3,382269137.3,603163752.4,2012-01-01
37,13871000.400000002,3236273.8,10634726.600000001,9797732.3,577665.6000000001,259328.80000000005,3571952.0000000005,1685599.6,1886352.4000000001,1583802.1999999997,237248.69999999998,65301.59999999999,1417164.6,14330406.399999976,2593364.399999976,16185767.100000024,2012-02-01
38,15559516.699999996,4821971.800000001,10737544.899999999,9366271.099999998,902043.9000000001,469229.79999999993,4693827.5,2325619.0,2368208.5,2001589.5,274677.9,91941.0,1712948.5999999996,21262180.800000012,-3023278.199999988,17436650.5,2012-03-01
39,10872542.600000001,4448867.5,6423675.1000000015,5526407.199999999,585511.3999999999,311756.6,3513802.4000000004,1977299.0999999996,1536503.2999999998,1252861.4000000004,218161.69999999995,65480.19999999998,1624121.2999999998,-13486122.699999988,8005095.800000012,-4015890.2999999523,2012-04-01
40,11562306.500000007,4447810.5,7114496.0,6065948.5,730928.2999999998,317619.1000000001,3680312.5,2287823.1000000006,1392489.4000000004,1067745.2000000002,249901.80000000005,74842.30000000005,1572180.7000000002,5462629.299999982,5343512.899999976,10906710.399999976,2012-05-01
41,14541650.399999991,5093209.0,9448441.5,8027639.5,1056539.3000000003,364262.69999999995,3714064.3999999985,2208505.299999999,1505559.0,1207791.5999999996,225402.69999999995,72364.79999999999,1849992.2999999998,26816715.0,-2925774.399999976,33925318.79999995,2012-06-01
42,10541112.600000009,4240190.0,6300922.3999999985,5486551.3999999985,537682.2000000002,276688.7999999998,3596582.6000000015,2318388.6000000015,1278194.0999999996,923012.9000000004,272970.40000000014,82210.79999999999,1627753.0999999996,-20668377.799999982,12400851.599999964,-16732057.399999976,2012-07-01
43,11406633.799999997,4120912.9000000022,7285721.099999994,6400818.6000000015,594450.0,290452.5,3810741.3000000007,2470681.3000000007,1340060.0,991092.2999999989,260687.19999999995,88280.59999999998,1712267.9000000004,1872125.5,722011.2000000477,3133273.2999999523,2012-08-01
44,13487622.799999997,4561938.8999999985,8925683.900000006,7557690.500000007,908354.0999999996,459639.3000000003,3892464.799999997,2512864.3999999985,1379600.4000000004,1058537.3000000007,232367.09999999986,88695.90000000002,2020210.9000000004,12810792.699999988,12662753.699999988,25991075.900000095,2012-09-01
45,10382851.700000003,3759169.5,6623682.099999994,5714202.099999994,623322.7000000002,286157.3999999999,3373592.8999999985,2177695.8999999985,1195897.0999999996,924498.4000000004,204030.3999999999,67368.30000000005,1791813.6000000015,-10406681.199999988,4207119.699999988,-6627095.100000024,2012-10-01
46,11302562.700000003,4372910.8999999985,6929651.800000012,6035672.900000006,619902.7999999998,274076.0,4851157.400000006,2989472.4000000022,1861684.8999999985,1508687.7999999989,261026.1000000001,91971.0,2004535.5999999978,3105201.099999994,5266803.5,8796044.699999928,2012-11-01
